program,-1,-1,1
grados_fahrenheit?,-55,0,1
;,-75,-1,1
var,-15,-1,2
real,-12,-1,3
:,-77,-1,3
x%,-52,0,3
,,-76,-1,3
cent%,-52,1,3
,,-76,-1,3
farh%,-52,2,3
;,-75,-1,3
int,-11,-1,4
:,-77,-1,4
x&,-51,3,4
;,-75,-1,4
begin,-2,-1,5
write,-5,-1,6
(,-73,-1,6
"Ingrese °C",-63,-1,6
),-74,-1,6
;,-75,-1,6
read,-4,-1,7
(,-73,-1,7
cent%,-52,1,7
),-74,-1,7
;,-75,-1,7
farh%,-52,2,8
:=,-26,-1,8
(,-73,-1,8
cent%,-52,1,8
*,-21,-1,8
9.0,-62,-1,8
/,-22,-1,8
5,-61,-1,8
),-74,-1,8
+,-24,-1,8
32,-61,-1,8
+,-24,-1,8
"Hola",-63,-1,8
;,-75,-1,8
write,-5,-1,9
(,-73,-1,9
"En Farenheit es igual a ",-63,-1,9
),-74,-1,9
;,-75,-1,9
write,-5,-1,10
(,-73,-1,10
farh%,-52,2,10
),-74,-1,10
;,-75,-1,10
end,-3,-1,11
